???????,???
0,2
1,2
2,2
3,2
4,1
5,2
6,2
7,0
8,1
9,1
10,6
11,0
12,0
13,6
14,2
15,2
16,2
17,2
18,2
19,2
20,0
21,6
22,2
23,6
24,2
25,2
26,2
27,2
28,1
29,1
30,2
31,7
32,2
33,2
34,2
35,2
36,6
37,7
38,3
39,2
40,2
41,2
42,7
43,3
44,2
45,0
46,0
47,2
48,7
49,1
50,4
51,4
52,2
53,2
54,6
55,5
56,2
57,2
58,1
59,2
60,2
61,0
62,0
63,2
64,2
65,2
66,2
67,2
68,0
69,1
70,0
71,2
72,2
73,0
74,2
75,2
76,0
77,2
78,7
79,2
80,7
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,7
101,2
102,2
103,6
104,0
105,2
106,0
107,1
108,2
109,2
110,2
111,2
112,2
113,0
114,2
115,2
116,6
117,2
118,1
119,2
120,1
121,2
122,7
123,2
124,2
125,1
126,1
127,2
128,2
129,2
130,2
131,1
132,2
133,4
134,1
135,0
136,7
137,0
138,4
139,7
140,2
141,2
142,3
143,2
144,7
145,2
146,2
147,2
148,2
149,4
150,2
151,0
152,2
153,3
154,2
155,1
156,2
157,1
158,1
159,2
160,0
161,1
162,2
163,2
164,2
165,2
166,4
167,2
168,1
169,2
170,7
171,2
172,1
173,2
174,2
175,0
176,2
177,7
178,6
179,1
180,7
181,1
182,2
183,6
184,2
185,2
186,1
187,2
188,2
189,2
190,2
191,2
192,1
193,7
194,7
195,2
196,2
197,2
198,7
199,2
200,2
201,2
202,1
203,7
204,2
205,5
206,1
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,6
216,2
217,7
218,7
219,7
220,7
221,1
222,2
223,3
224,1
225,7
226,2
227,2
228,2
229,7
230,1
231,4
232,1
233,2
234,7
235,2
236,2
237,6
238,6
239,2
240,2
241,1
242,2
243,6
244,2
245,2
246,1
247,7
248,4
249,2
250,2
251,2
252,7
253,7
254,2
255,7
256,6
257,2
258,2
259,2
260,2
261,2
262,2
263,0
264,1
265,1
266,2
267,1
268,6
269,2
270,1
271,2
272,2
273,2
274,0
275,2
276,7
277,2
278,7
279,2
280,0
281,7
282,7
283,2
284,7
285,2
286,1
287,2
288,0
289,2
290,2
291,0
292,1
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,1
301,1
302,2
303,2
304,2
305,0
306,4
307,1
308,7
309,1
310,7
311,2
312,1
313,7
314,2
315,2
316,2
317,7
318,2
319,7
320,2
321,2
322,2
323,1
324,7
325,2
326,0
327,1
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,0
336,2
337,1
338,2
339,2
340,0
341,2
342,7
343,7
344,1
345,2
346,2
347,7
348,2
349,0
350,2
351,2
352,7
353,2
354,1
355,2
356,2
357,0
358,2
359,2
360,3
361,2
362,2
363,3
364,2
365,7
366,1
367,2
368,2
369,2
370,2
371,1
372,2
373,2
374,2
375,2
376,1
377,2
377,2
378,2
379,2
380,2
381,6
382,2
383,7
384,2
385,2
386,2
387,7
388,4
389,1
390,2
391,7
392,2
393,2
394,1
395,2
396,2
397,2
398,2
399,7
400,7
401,6
402,2
403,7
404,2
405,2
406,2
406,2
407,7
408,2
409,0
410,2
411,2
412,2
413,6
414,2
415,6
416,2
417,7
418,6
419,2
420,2
421,0
422,1
423,7
424,7
425,2
426,1
427,7
428,2
429,6
430,3
431,2
432,7
433,2
434,2
435,7
436,7
437,2
438,2
439,2
440,0
441,0
442,2
443,3
444,2
445,2
446,2
447,2
448,2
449,7
450,2
451,2
452,2
453,6
454,2
455,7
456,2
457,2
458,1
459,1
460,2
461,7
462,7
463,2
464,1
465,2
466,5
467,2
468,2
469,2
470,2
471,2
472,7
473,0
474,2
475,2
476,2
477,1
478,7
479,1
480,2
481,2
482,7
483,2
484,2
485,2
486,2
487,6
488,0
489,7
490,3
491,0
492,2
493,3
494,2
495,2
496,2
497,2
498,6
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,3
509,2
510,0
511,2
512,6
513,2
514,2
515,0
516,2
517,7
518,2
519,2
520,2
521,2
522,0
523,7
524,1
525,1
526,7
527,2
528,2
529,2
530,1
531,2
532,2
533,1
534,7
535,5
536,7
537,2
538,1
539,2
540,2
541,7
542,4
543,7
544,6
